Match,Date (UTC),Kickoff (UTC),Kickoff (ET),Team A,Team B,Group / Round,Venue,City,Host Country
23,2026-06-17,23:00,7:00 PM,Ghana,Panama,Group L,BMO Field,Toronto,Canada
24,2026-06-18,02:00,10:00 PM,Uzbekistan,Colombia,Group K,Estadio Azteca,Mexico City,Mexico
25,2026-06-18,16:00,12:00 PM,Czechia,South Africa,Group A,Mercedes-Benz Stadium,Atlanta,USA
26,2026-06-18,19:00,3:00 PM,Switzerland,Bosnia & Herzegovina,Group B,SoFi Stadium,Inglewood,USA
27,2026-06-18,22:00,6:00 PM,Canada,Qatar,Group B,BC Place,Vancouver,Canada
28,2026-06-19,01:00,9:00 PM,Mexico,South Korea,Group A,Estadio Akron,Guadalajara,Mexico
29,2026-06-19,19:00,3:00 PM,United States,Australia,Group D,Lumen Field,Seattle,USA
30,2026-06-19,22:00,6:00 PM,Scotland,Morocco,Group C,Gillette Stadium,Foxborough,USA
31,2026-06-20,00:30,8:30 PM,Brazil,Haiti,Group C,Lincoln Financial Field,Philadelphia,USA
32,2026-06-20,03:00,11:00 PM,Türkiye,Paraguay,Group D,Levi's Stadium,Santa Clara,USA
